id	status	priority	kind	title	evidence
pedagogy-COR-1	DONE	high	process-rule	d=-0.88 figure struck as attribution (MAS-20); no-prize/no-XP-money-bridge decision must be justified via PED-10 + PED-14 + UIU-09 + airdrop-extractio	#608 'Corrections sweep: strike refuted figures across specs, issues and copy' CLOSED 2026-07-26. UNIFIED-LAUNCH-SPEC §1 evidence table (line 132) records d=−0.88 as MAS-20 REFUTED-as-attribution with the strike directive; ai-tutor-economics.md carries a gover
pedagogy-COR-2	DONE	high	process-rule	Interleaving prose-harm numbers (g=0.34 / g=-0.39) refuted as applied (MAS-22); 'interleave only inside review sets, never reorder lesson prose' stand	#608 CLOSED (2026-07-26, 'Corrections sweep: strike refuted figures'). Master spec docs/superpowers/specs/2026-07-25-launch-experience-master-spec.md lines 97 and 193 carry inline '(Corrected per #608: the g≈0.34 / g=−0.39 figures are struck… ruling stands on 
pedagogy-COR-3	DONE	high	process-rule	Mastery-learning '≈0.08 standardized/transfer' figure must never be quoted (PED-07 WEAKENED); correct figures are d=0.33 (k=9)/0.10 (k=2), high-standa	#645 CLOSED (2026-07-26, corrections sweep round 2). UNIFIED-LAUNCH-SPEC line 129: 'The ≈0.08 in the source doc is not in the primary and must never be quoted', capstone-gating ruling cited to d=0.33 (k=9)/0.10 (k=2) and 0.60–0.76 SD high-standard mastery; lea
pedagogy-R1	PARTIAL	high	build-item	P0 roadmap #1: Spaced-review daily quests — resurface challenge variants + retrieval items from completed lessons on fixed 1/3/7/21-day Leitner schedu	Full spine shipped: #569 CLOSED (supabase/migrations/20260726140000_review_items_spaced_repetition.sql — 1/3/7/21-day Leitner boxes as review_schedule rows, item_key = raw lesson _id, skills resolved from bundle, explicit 'no ML model' note), #570 CLOSED (lib/
pedagogy-R2	DONE	high	content-item	P0 roadmap #2: Per-lesson retrieval close — 1-3 short-answer/code-prediction items with immediate explanatory feedback, gating the lesson's XP	#565 CLOSED (author retrieval closes), #559 CLOSED (launch content PR). Live bundle check (apps/web/src/content/generated/lessons.json): all 49 live lessons (C2–C5) contain a graded quiz/code block; 40/49 end with a quiz and all 7 openEnded-ending lessons also
pedagogy-R3	PARTIAL	high	build-item	P0 roadmap #3: Streak forgiveness — earned streak freezes, missed-day repair, and a weekly-cadence streak track aligned to the weekly-return goal	#573 CLOSED. supabase/schema.sql: streak_freezes inventory (cap 2) on user_xp, grant_streak_freeze (quest reward), cover_missed_days_with_freezes RPC (missed-day repair), streak_freezes_used log driving a calendar 'frozen day' render (lib/gamification/streaks.
pedagogy-R4	DONE	high	build-item	P0 roadmap #4: North-star metric — weekly return of previously-active learners in PostHog, with 10-12 week evaluation windows for all mechanics	#558 CLOSED (LX-F1 typed-event pass: apps/web/src/lib/analytics/events.ts, credential_minted documented as 'the post-mint-cliff baseline', PostHog identify) and #605 CLOSED — lib/analytics/experiment-registry.ts encodes 'No mechanic is evaluated before week 10
pedagogy-R5	DONE	medium	build-item	P1 roadmap #5: Segment-differentiated challenge ladder in content schema — worked example → subgoal-labeled → Parsons → write, entry rung set by decla	#577 CLOSED (Parsons + ladder rungs + segment entry), #703 CLOSED with the F13 fix landed: parsons-block.tsx renders paired distractor groups (pairedWith markers, lines 54–123); packages/content-schema/src/blocks/parsons.ts models distractor/pairedWith; server
pedagogy-R6	PARTIAL	medium	build-item	P1 roadmap #6: Capstone-gated credentials — each course's soulbound NFT requires a working program deployed to devnet, verified via existing build ser	#561 CLOSED and #560 CLOSED: certificates/mint/route.ts enforces checkCapstoneCredentialGate (LX-E2/owner O-2) — mint 403s with capstone_deploy_required unless a deployed_programs row exists, written only by the on-chain-verified /api/deploy/save; capstone-gat
pedagogy-R7	PARTIAL	medium	build-item	P1 roadmap #7: Leaderboard reform — weekly small-cohort leagues (~30) with resets or nearby-rank relative view; global all-time board demoted/opt-in; 	#574 CLOSED + #583 CLOSED. supabase/schema.sql lines 2624+: weekly cohort leagues (league_week_start, league_tiers, league_cohorts, snapshot scoring) + you-±3 strip (components/dashboard/cohort-strip.tsx, api/leaderboard/cohort); leaderboard page comment 'demo
pedagogy-R8	DONE	medium	content-item	P1 roadmap #8: XP/notification copy audit (PT-BR/ES/EN) — all gain messaging informational ('you can now X'), never controlling or monetary; surprise 	#550 CLOSED (LX-B10, body: 'Pair standalone XP totals with level context; kill balance framing; ×3 locales') — locale files apps/web/src/messages/{en,es,pt-BR}.json exist; server-xp-feedback.ts + celebration/xp copy shipped via #549/#796/#804/#809 wave. Unexpe
pedagogy-R9	DONE	medium	build-item	P1 roadmap #9: Earn pipeline — course completion surfaces a curated Superteam Earn bounty/gig shortlist in-app at the post-credential moment	#553 CLOSED (LX-E4): components/certificates/earn-handoff-card.tsx rendered at the certificate/mint surface (certificates/[id]/page.tsx, course-completion-mint.tsx) with E8 instrumentation. Note the shipped shape per #553's own scope: curated Earn category lin
pedagogy-R10	PARTIAL	low	build-item	P2 roadmap #10: Session-end if-then planner — event-anchored 'when's your next lesson?' picker feeding reminders	#582 CLOSED (bundled LX-A6): components/dashboard/next-lesson-plan.tsx is the session-end 'when's your next lesson?' implementation-intention picker, plan stored in profiles.prefs.nextLesson, plan-committed analytics event. || REMAINS: Cues are day-of-week + t
pedagogy-R11	SUPERSEDED	low	build-item	P2 roadmap #11: Solution-reveal XP price — solutions stay public but one-click in-app reveal costs a share of lesson XP (Boot.dev pattern, ~75%)	UNIFIED-LAUNCH-SPEC item 45 ('Solution reveal = review scheduling, not XP cost') and line 1860: 'Solution reveal priced in forfeited XP — impossible and forbidden; replaced by review scheduling', consistent with the open-book stance (answer keys are public by 
pedagogy-R12	DONE	low	content-item	P2 roadmap #12: Interleaved review sets for confusable Solana concepts (PDA vs ATA, CPI account lists, Anchor constraints) inside review quests only	apps/web/src/lib/review/interleave.ts — permutation-only pass over due review items pulling confusable partners (REVIEW_INTERLEAVING_PAIRS spanning PDA vs account-model, CPI, Anchor-constraint skills) inside review sessions only, no-op otherwise; shipped with 
